price,size,bedrooms,bathrooms,parking spaces,location,address,href
3495000,82,2,2,2,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108560968?plId=571904&plt=2
3500000,104,2,2,1,Sea Point,4 Norfolk Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108522035
3500000,117,2,2,1,Sea Point,"Van Riebeeck, 16 Worcester Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108544631
3500000,117,2,2,1,Sea Point,16 Worcestor Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108509162
3500000,89,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108624731
3500000,65,2,2,,Sea Point,1f Four On O 4 Oliver Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108469653?plId=570524&plt=3
3500000,,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108553183
3500000,53,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108339801
3500000,53,1,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108268441
3500000,89,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/106801203
3500000,117,2,2,1,Sea Point,16 Worcestor Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108621635
3500000,60,1,1,,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/106678899
3500000,78,2,1,2,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/106653448
3499000,109,2,1.5,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107381499
3495000,82,2,2,2,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108560968
3495000,104,3,2,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108439980
3495000,91,,,,Sea Point,239 Beach Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108143835
3495000,83,2,2,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108326403
3495000,79,2,1,1,Sea Point,"5 St Ronan's, 265 High Level Road",https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107654985
3450000,85,1,1,1,Sea Point,395 Main Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108632900?plId=570038&plt=2
3495000,82,2,2,2,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108230367
